Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goals Difference,Points
Arsenal,28,22,3,3,66,26,40,69
Man City,27,19,4,4,67,25,42,61
Man Utd,26,15,5,6,41,35,6,50
Tottenham,28,15,4,9,52,40,12,49
Newcastle,26,12,11,3,39,19,20,47
Liverpool,26,12,6,8,47,29,18,42
Brighton,25,12,6,7,46,31,15,42
Brentford,27,10,12,5,43,34,9,42
Fulham,27,11,6,10,38,37,1,39
Chelsea,27,10,8,9,29,28,1,38
Aston Villa,27,11,5,11,35,39,-4,38
Crystal Palace,28,6,9,13,22,38,-16,27
Wolves,28,7,6,15,22,41,-19,27
Leeds,27,6,8,13,35,44,-9,26
Everton,28,6,8,14,22,40,-18,26
Nottm Forest,27,6,8,13,22,49,-27,26
Leicester,27,7,4,16,38,47,-9,25
West Ham,26,6,6,14,24,34,-10,24
Bournemouth,27,6,6,15,25,54,-29,24
Southampton,28,6,5,17,23,46,-23,23
